aclew_id,labname,device,age_mo_round,child_sex,language,lang_percent,corpus,std_mat_ed,number_older_sibs,region
3439,BER,lena,10,F,English,100,Seedlings,ad,1,"Rochester, NY, USA"
1836,BER,lena,14,M,English,100,Seedlings,ad,1,"Rochester, NY, USA"
256,BER,lena,17,M,English,100,Seedlings,cd,1,"Rochester, NY, USA"
4889,BER,lena,7,F,English,100,Seedlings,ad,0,"Rochester, NY, USA"
5242,BER,lena,12,F,English,100,Seedlings,ad,1,"Rochester, NY, USA"
5980,BER,lena,7,M,English,100,Seedlings,sc,0,"Rochester, NY, USA"
990,BER,lena,8,M,English,100,Seedlings,sc,1,"Rochester, NY, USA"
459,BER,lena,9,F,English,100,Seedlings,sc,0,"Rochester, NY, USA"
7928,WAR,lena,3,M,English,100,Warlaumont,sc,0,"Central Valley, California"
2318,BER,lena,13,F,English,100,Seedlings,cd,0,"Rochester, NY, USA"
8684,WAR,lena,3,F,English,100,Warlaumont,cd,3,"Central Valley, California"
7117,BER,lena,15,F,English,100,Seedlings,sc,0,"Rochester, NY, USA"
3174,WAR,lena,3,M,English_Spanish,1hr/day spanish,Warlaumont,sc,0,"Central Valley, California"
5792,WAR,lena,3,M,English,100,Warlaumont,sc,1,"Central Valley, California"
602,WAR,lena,3,F,English,100,Warlaumont,ad,0,"Central Valley, California"
8602,WAR,lena,9,M,English,100,Warlaumont,cd,4,"Central Valley, California"
9769,WAR,lena,6,M,English,100,Warlaumont,cd,0,"Central Valley, California"
8569,ROS,lena,23,F,Spanish,100,Conicet Argentina,bhs,1,"Derqui, Metropolitan Area of Buenos Aires, ARG"
9378,ROS,dig.rec.,17,M,Spanish,100,Conicet Argentina,hs,0,"Quilmes, Metropolitan Area of Buenos Aires, ARG"
8340,ROS,voice,17,F,Spanish,100,Conicet Argentina,hs,0,"Quilmes, Metropolitan Area of Buenos Aires, ARG"
5293,ROS,lena,25,M,Spanish,100,Conicet Argentina,bhs,5,"Derqui, Metropolitan Area of Buenos Aires, ARG"
4009,ROW,lena,19,F,British English,100,LuCiD_Lang05,ad,1,Northwest England
7132,ROW,lena,21,M,British English,100,LuCiD_Lang05,ad,2,Northwest England
