aclew_id,labname,device,age_mo_round,child_sex,language,lang_percent,corpus,std_mat_ed,number_older_sibs,region
3895,BER,lena,8,M,English,100,Seedlings,sc,4,"Rochester, NY, USA"
6035,BER,lena,12,F,English,100,Seedlings,ad,0,"Rochester, NY, USA"
7758,BER,lena,17,M,English,100,Seedlings,cd,0,"Rochester, NY, USA"
3749,BER,lena,14,M,English,100,Seedlings,ad,0,"Rochester, NY, USA"
2927,BER,lena,13,F,English,100,Seedlings,cd,1,"Rochester, NY, USA"
1618,BER,lena,7,M,English,100,Seedlings,sc,1,"Rochester, NY, USA"
1844,BER,lena,10,F,English,100,Seedlings,ad,0,"Rochester, NY, USA"
3528,WAR,lena,6,F,English,100,Warlaumont,hs,3,"Central Valley, California"
9755,WAR,lena,3,F,English,100,Warlaumont,cd,1,"Central Valley, California"
5750,BER,lena,7,F,English,100,Seedlings,ad,3,"Rochester, NY, USA"
396,BER,lena,15,F,English,100,Seedlings,hs,0,"Rochester, NY, USA"
1196,BER,lena,9,F,English,100,Seedlings,sc,3,"Rochester, NY, USA"
3090,WAR,lena,3,F,English_Spanish,"mostly spanish, eng 6hr/day",Warlaumont,hs,1,"Central Valley, California"
4995,WAR,lena,9,F,English_German,85_15,Warlaumont,sc,1,"Central Valley, California"
5959,WAR,lena,9,M,English,100,Warlaumont,ad,0,"Central Valley, California"
2535,WAR,lena,3,M,English,100,Warlaumont,ad,0,"Central Valley, California"
9398,WAR,lena,6,F,English,100,Warlaumont,ad,0,"Central Valley, California"
1130,WAR,lena,9,M,English,100,Warlaumont,ad,1,"Central Valley, California"
5613,WAR,lena,6,M,Spanish,some sahaptin & english,Warlaumont,bhs,1,"Central Valley, California"
9427,WAR,lena,9,M,English,100,Warlaumont,cd,0,"Central Valley, California"
790,ROS,sony,12,F,Spanish,100,Conicet Argentina,hs,0,"Moreno, Metropolitan Area of Buenos Aires, ARG"
9909,ROS,olympus,12,F,Spanish,100,Conicet Argentina,bhs,2,"Wilde, Metropolitan Area of Buenos Aires, ARG"
1299,ROS,olympus,23,M,Spanish,100,Conicet Argentina,bhs,2,"CABA, ARG"
8788,ROS,lena,21,F,Spanish,100,Conicet Argentina,hs,0,"Derqui, Metropolitan Area of Buenos Aires, ARG"
9426,ROS,lena,16,M,Spanish,100,Conicet Argentina,hs,2,"Lugano, Metropolitan Area of Buenos Aires, ARG"
1768,ROW,lena,21,M,British English,100,LuCiD_Lang05,ad,0,Northwest England
3486,ROW,lena,31,M,British English,100,LuCiD_Lang05,hs,1,Northwest England
9801,ROW,lena,19,F,British English,100,LuCiD_Lang05,ad,1,Northwest England
9408,ROW,lena,27,M,British English,100,LuCiD_Lang05,ad,0,Northwest England
2745,ROW,lena,18,M,British English,100,LuCiD_Lang05,sc,0,Northwest England
1156,ROW,lena,25,F,British English,100,LuCiD_Lang05,sc,2,Northwest England
8357,ROW,lena,12,F,British English,100,LuCiD_Lang05,sc,1,Northwest England
1735,ROW,lena,21,F,British English,100,LuCiD_Lang05,cd,1,Northwest England
9492,ROW,lena,15,F,British English,100,LuCiD_Lang05,cd,1,Northwest England
7798,ROW,lena,11,M,British English,100,LuCiD_Lang05,sc,0,Northwest England
9527,SOD,lena,12,F,English,100,Winnipeg,unknown,1,"Winnipeg, Manitoba, Canada"
3634,SOD,lena,14,F,English,100,Winnipeg,unknown,1,"Winnipeg, Manitoba, Canada"
1499,SOD,lena,32,F,French,100,Winnipeg,hs,0,"Winnipeg, Manitoba, Canada"
9858,SOD,lena,13,M,English,100,Winnipeg,bhs,0,"Winnipeg, Manitoba, Canada"
8445,SOD,lena,8,F,English,100,Winnipeg,bhs,0,"Winnipeg, Manitoba, Canada"
3542,SOD,lena,2,F,English,100,Winnipeg,bhs,0,"Winnipeg, Manitoba, Canada"
9854,SOD,lena,17,M,English,100,Winnipeg,bhs,0,"Winnipeg, Manitoba, Canada"
8768,SOD,lena,12,M,English,100,Winnipeg,bhs,0,"Winnipeg, Manitoba, Canada"
4483,SOD,lena,5,M,English,100,Winnipeg,hs,0,"Winnipeg, Manitoba, Canada"
8924,SOD,lena,11,F,English,100,Winnipeg,bhs,0,"Winnipeg, Manitoba, Canada"
4736,SOD,lena,9,M,English,100,Winnipeg,bhs,0,"Winnipeg, Manitoba, Canada"
7903,ROS,olympus,18,F,Spanish,100,Conicet Argentina,cd,1,"Lanús Oeste, Metropolitan Area of Buenos Aires, ARG"
2534,ROS,olympus,9,M,Spanish,100,Conicet Argentina,ad,3,"Remedios de Escalada, Metropolitan Area of Buenos Aires, ARG"
3510,ROS,lena,14,M,Spanish,100,Conicet Argentina,ad,1,"CABA, ARG"
6026,ROS,olympus,27,M,Spanish,100,Conicet Argentina,ad,1,"CABA, ARG"
9051,ROS,panasoni,19,M,Spanish,100,Conicet Argentina,cd,2,"Olivos, Metropolitan Area of Buenos Aires, ARG"
7326,TSE,olympus,14,M,Tseltal,100,CasillasTseltal,bhs,0,"Tenejapa, Chiapas, MX"
7176,TSE,olympus,4,M,Tseltal,100,CasillasTseltal,hs,1,"Tenejapa, Chiapas, MX"
8179,TSE,olympus,6,F,Tseltal,100,CasillasTseltal,bhs,0,"Tenejapa, Chiapas, MX"
7220,TSE,olympus,22,F,Tseltal,100,CasillasTseltal,hs,1,"Tenejapa, Chiapas, MX"
2109,TSE,olympus,7,F,Tseltal,100,CasillasTseltal,bhs,0,"Tenejapa, Chiapas, MX"
6216,TSE,olympus,27,F,Tseltal,100,CasillasTseltal,bhs,0,"Tenejapa, Chiapas, MX"
8787,TSE,olympus,11,M,Tseltal,100,CasillasTseltal,bhs,1,"Tenejapa, Chiapas, MX"
2625,TSE,olympus,32,F,Tseltal,100,CasillasTseltal,bhs,1,"Tenejapa, Chiapas, MX"
643,TSE,olympus,2,M,Tseltal,100,CasillasTseltal,bhs,5,"Tenejapa, Chiapas, MX"
3026,TSE,olympus,36,M,Tseltal,100,CasillasTseltal,bhs,2,"Tenejapa, Chiapas, MX"
8427,YEL,olympus,1,F,Yélî Dnye,100,CasillasYeli,bhs,1,"Rossel Island, Milne Bay Province, PNG"
4569,YEL,olympus,20,F,Yélî Dnye,100,CasillasYeli,bhs,5,"Rossel Island, Milne Bay Province, PNG"
2977,YEL,olympus,13,F,Yélî Dnye,100,CasillasYeli,bhs,5,"Rossel Island, Milne Bay Province, PNG"
3729,YEL,olympus,4,M,Yélî Dnye,100,CasillasYeli,bhs,5,"Rossel Island, Milne Bay Province, PNG"
1143,YEL,olympus,8,M,Yélî Dnye,100,CasillasYeli,bhs,1,"Rossel Island, Milne Bay Province, PNG"
6934,YEL,olympus,17,M,Yélî Dnye,100,CasillasYeli,bhs,1,"Rossel Island, Milne Bay Province, PNG"
5019,YEL,olympus,36,M,Yélî Dnye,100,CasillasYeli,bhs,3,"Rossel Island, Milne Bay Province, PNG"
9732,YEL,olympus,4,M,Yélî Dnye,100,CasillasYeli,hs,0,"Rossel Island, Milne Bay Province, PNG"
3956,YEL,olympus,26,F,English_Goodenough_Misima_Yélî Dnye,45_05_05_45,CasillasYeli,bhs,0,"Rossel Island, Milne Bay Province, PNG"
8018,YEL,olympus,9,F,Yélî Dnye,100,CasillasYeli,bhs,1,"Rossel Island, Milne Bay Province, PNG"
