aclew_id,labname,device,age_mo_round,child_sex,language,lang_percent,corpus,std_mat_ed,number_older_sibs,region
643,TSE,olympus,2,M,Tseltal,100,CasillasTseltal,bhs,5,"Tenejapa, Chiapas, MX"
8787,TSE,olympus,11,M,Tseltal,100,CasillasTseltal,bhs,1,"Tenejapa, Chiapas, MX"
2625,TSE,olympus,32,F,Tseltal,100,CasillasTseltal,bhs,1,"Tenejapa, Chiapas, MX"
9733,SOD,lena,12,M,English,100,Winnipeg,bhs,0,"Winnipeg, Manitoba, Canada"
5223,SOD,lena,11,M,English,100,Winnipeg,bhs,0,"Winnipeg, Manitoba, Canada"
8560,SOD,lena,10,F,English,100,Winnipeg,bhs,0,"Winnipeg, Manitoba, Canada"
8340,ROS,voice,17,F,Spanish,100,Conicet Argentina,hs,0,"Quilmes, Metropolitan Area of Buenos Aires, ARG"
9559,ROS,olympus,15,F,Spanish,100,Conicet Argentina,hs,0,"Derqui, Metropolitan Area of Buenos Aires, ARG"
5271,ROS,lena,20,M,Spanish,100,Conicet Argentina,ad,1,"CABA, ARG"
3628,ROW,lena,19,F,British English,100,LuCiD_Lang05,sc,2,Northwest England
2811,ROW,lena,12,F,British English,100,LuCiD_Lang05,sc,1,Northwest England
49,ROW,lena,25,M,British English,100,LuCiD_Lang05,cd,1,Northwest England
713,BER,lena,7,M,English_German_Spanish,>75 English,Seedlings,ad,0,"Rochester, NY, USA"
485,BER,lena,12,M,English,100,Seedlings,sc,0,"Rochester, NY, USA"
2224,BER,lena,16,F,English,100,Seedlings,ad,1,"Rochester, NY, USA"
9755,WAR,lena,3,F,English,100,Warlaumont,cd,1,"Central Valley, California"
2337,WAR,lena,6,F,English_Spanish,"mostly spanish, eng 6hr/day",Warlaumont,hs,1,"Central Valley, California"
5959,WAR,lena,9,M,English,100,Warlaumont,ad,0,"Central Valley, California"
